id,ward,street,avenue,type,waldronCat,ordinanceNum,date,year,googleMapsVerify,gMapsDate,googleMapsType,noIntersect,streetOpen,coords.x1,coords.x2,check,status,changes
61,5,Knapp St.,Branch,pots (4),1,63566,10/24/95,1995,3,9/1/14,pots (5),0,0,905846.874,1028028.866,pass,street closed,
62,5,Mullanphy St.,Sixteenth St.,cul,3,63996,2/18/97,1997,3,3/1/15,pots (5),0,0,906454.9259,1023242.416,pass,street closed,
64,5,Nineteenth St.,Warren,pots (6),1,63814,7/1/96,1996,3,3/1/15,pots (5),0,0,905431.2315,1025227.839,pass,street closed,
65,5,O'Fallon St.,13th St.,pots (3),1,66621,2/22/05,2005,3,7/1/11,barricade (2),0,0,907336.2782,1021546.117,pass,street closed,
66,5,O'Fallon St.,14th St.,pots (3),1,66621,2/22/05,2005,9,4/1/15,jersey (4)/ fence,0,0,907048.1183,1021623.269,pass,duplicate,with 56
67,5,Penrose St.,Blair,pots (4),1,64081,6/25/97,1997,3,8/1/15,pots (19),0,0,904916.9411,1031638.594,pass,street closed,
68,5,Rauchenback,Herbert,posts/chains,2,58085,6/12/80,1980,3,,,0,0,904747.7826,1027761.411,pass,street closed,street name fixed
69,5,Sixteenth Av.,Mullanphy St.,cul,3,63996,2/18/97,1997,3,3/1/15,pots (5),0,0,906528.1951,1023263.977,pass,street closed,
70,5,Sixteenth Av.,O'Fallon,pots (7),1,63818,7/15/96,1996,3,4/1/15,pots (10),0,0,906096.7747,1021895.641,pass,street closed,
71,5,Twenty-first St.,N. Florissant,pots (2),1,58085,6/12/80,1980,3,3/1/15,jersey (2),0,0,905143.5122,1027286.859,pass,street closed,
73,5,Wright St.,N. Florissant,cul,3,58085,6/12/90,1990,2,3/1/15,Do Not Enter Sign,0,1,905816.7386,1026307.78,pass,street open,
74,6,Allen Ave.,Compton,wrought iron fence,2,57405,8/2/77,1977,1,7/1/11,SAME,0,0,896530.9929,1012326.502,pass,street closed,
75,6,Allen Ave.,Nebraska,wrought iron fence,2,57405,8/2/77,1977,1,7/1/11,SAME,0,0,897762.8939,1012126.299,pass,street closed,
77,6,Caroline St.,Jefferson,cul,3,57336,3/22/77,1977,1,,,0,0,900116.966,1014370.887,pass,street closed,
78,6,Dolman St.,Chouteau,pots (4),1,66372,7/31/04,2004,3,5/1/16,cul,0,0,903347.1099,1014588.984,pass,street closed,
79,6,Dolman St.,Lafayette,pots (4),1,66372,7/31/04,2004,1,6/1/16,SAME,0,0,902894.5139,1012452.78,pass,street closed,
80,6,Eads Ave.,Nebraska,cul,3,57776,3/15/79,1979,1,7/1/11,SAME,0,0,898122.3005,1013758.747,pass,street closed,
81,6,Eighteenth St.,Chouteau,pots (11),1,59707,1/30/86,1986,2,,,0,1,903031.6097,1014634.85,pass,street open,
83,6,Eighteenth St.,Lafayette,pots (4),1,59707,1/30/86,1986,3,5/1/15,Sidewalk/Gate,0,0,902553.5191,1012479.839,pass,street closed,
84,6,Geyer Ave.,S Compton Ave,wrought iron fence,2,57405,8/2/97,1977,1,7/1/11,SAME,0,0,896589.0373,1012651.253,pass,street closed,
85,6,Geyer Ave.,Compton,cul,3,57405,8/2/97,1977,1,7/1/11,SAME,0,0,896536.1207,1012659.578,pass,street closed,
86,6,Geyer Ave.,Jefferson,cul,3,57405,8/2/97,1977,1,7/1/11,SAME,0,0,899608.2883,1012177.706,pass,street closed,
87,6,Geyer Ave.,Nebraska,wrought iron fence,2,57405,8/2/97,1977,1,7/1/11,SAME,0,0,897999.9491,1012433.986,pass,street closed,
88,6,Geyer Ave.,Nebraska,cul,3,57405,8/2/97,1977,1,7/1/11,SAME,0,0,897827.1232,1012460.295,pass,street closed,
89,6,Hartford St.,Louisiana,pots (4),1,57405,8/2/77,1977,1,4/1/12,SAME,0,0,895089.5389,1007878.546,pass,street closed,
90,6,Henrietta Pl,Nebraska,pots (3),1,57776,3/15/79,1979,3,7/1/11,cul,0,0,898073.3379,1013427.338,pass,street closed,
91,6,Henrietta St.,Pennsylvania,pots (3),1,57949,3/15/79,1979,3,7/1/11,platform/pots (3),0,0,897611.2079,1013499.826,pass,street closed,
92,6,Hickory St,Dolman,post/rails,2,57497,2/9/78,1978,2,,,1,0,903383.3757,1014079.648,pass,street open,
94,6,Hickory St,Grattan ,,4,63638,12/21/93,1993,2,,,0,1,903535.8063,1013939.042,pass,street open,
95,6,Hickory St,Jefferson,cul,3,63638,12/21/93,1993,1,,,0,1,900444.5577,1014825.93,pass,street closed,
96,6,Hickory St,Ohio,pots (4),1,63638,12/21/93,1993,1,7/1/11,SAME,0,0,899762.7549,1015109.984,pass,street closed,
97,6,Hickory St,S. Compton,pots (4),1,63638,12/21/93,1993,1,5/1/12,SAME,0,0,897242.8419,1015775.112,pass,street closed,
98,6,LaSalle St.,18th,posts/chains,2,57384,7/14/77,1977,1,7/1/11,SAME,0,0,902954.8091,1014558.139,pass,street closed,
99,6,McKay Pl.,Chouteau,pots (4),1,63071,12/21/93,1993,3,9/1/14,Fence/Private Lot,0,0,901500.9837,1014931.728,pass,street closed,
101,6,Rutger St.,Ohio,pots (5),1,57336,3/22/77,1977,1,7/1/11,SAME,0,0,899683.7725,1014817.112,pass,street closed,
102,6,Rutger St.,Jefferson,cul,3,57336,3/22/97,1997,3,6/1/15,Private Drive,0,0,900267.8481,1014676.161,pass,street closed,
103,6,Rutger St.,California,pots (4),1,57336,3/22/97,1997,3,7/1/11,pots (5),0,0,898959.4075,1015000.731,pass,street closed,
104,6,Rutger St.,S. Compton,pots (4),1,57336,3/22/97,1997,3,5/1/12,pots (5),0,0,897163.4509,1015463.2,pass,street closed,
108,6,St. Vincent Ave.,Nebraska,cul,3,57776,3/15/79,1979,1,7/1/11,SAME,0,0,898150.6773,1014073.278,pass,street closed,
109,6,Virginia Ave.,Russell,cul,3,59333,12/19/84,1984,1,,,0,0,896136.2748,1012099.413,pass,street closed,
110,7,Accomac St.,California,cul,3,59752,3/4/86,1984,1,,,0,0,898898.7428,1010943.851,pass,street closed,
111,7,Accomac St.,Jefferson,cul,3,59333,12/19/84,1979,1,,,0,0,899577.9492,1010842.92,pass,street closed,
112,7,Accomac St.,Oregon,cul,3,57813,3/27/79,1986,1,,,0,0,897947.056,1011096.158,pass,street closed,
113,7,Allen Ave.,Jefferson,cul,3,63594,3/4/86,1986,3,5/1/15,,0,0,899574.4517,1011851.077,pass,street closed,
114,7,Ann Ave.,Jefferson,cul,3,63594,3/4/86,1986,1,5/1/15,,0,1,899419.8163,1011189.983,pass,street closed,
115,7,Armand Pl.,Jefferson,cul,3,63594,3/4/86,1986,1,7/1/11,SAME,0,0,899345.9607,1010546.102,pass,street closed,
116,7,Barton,3rd,,4,58666,9/13/82,1982,2,,,0,0,905186.0678,1008006.547,pass,street open,street name fixed
117,7,California Ave.,Victor,cul,3,57911,10/15/79,1979,1,7/1/11,,0,1,898093.8481,1010079.502,pass,street closed,
118,7,Carrol St.,Truman,pots (3),1,62838,2/2/93,1993,3,5/1/15,cul/pots(8),0,0,903154.6623,1012856.584,pass,street closed,
120,7,Carrol St.,Tucker,pots,1,61468,7/18/89,1989,3,9/1/14,,0,0,904418.4881,1012347.68,pass,street closed,street name fixed
