id,ward,street,avenue,type,waldronCat,ordinanceNum,date,year
211,18,Whittier St.,McPherson Ave.,,4,63376,2/7/95,1995
212,18,Whittier St.,Maryland,pots (4),1,64359,4/28/98,1998
213,19,University St.,Glasgow,pots (4),1,63763,4/8/96,1996
214,19,Westminister Pl.,Vandeventer,pots (4),1,64484,11/17/98,1998
215,19,Windsor Pl.,Spring,cul ,3,63962,1/3/97,1997
216,20,California Ave.,Chippewa Ave,,4,57498,2/9/78,1978
217,20,S. Compton Ave.,Oasge,pots (4),1,57498,2/9/78,1978
218,20,S. Compton Ave.,Gascorade,pots (4),1,63962,2/9/78,1978
219,20,Highland Ave.,Kingshighway,pots (5),1,64695,7/19/99,1999
220,20,Labadie Ave,Kingshighway,cul,3,57901,9/18/78,1978
221,20,Lotus Ave.,Kingshighway,pots (4),1,64629,2/23/99,1999
222,20,Maffitt Pl,Kingshighway,pots (6),1,62453,10/9/91,1991
223,20,Oregon Ave.,Miami,,4,64542,7/12/00,2000
224,20,Palm St.,Shreve,cul,3,57901,1/9/99,1999
225,20,San Francisco Ave.,Kingshighway,pots,1,64557,9/18/78,1978
226,20,Wabada Ave.,Kingshighway,pots (6),1,62502,2/1/99,1999
227,20,Winnebago St.,Jefferson Ave,,4,64987,7/12/00,2000
228,21,Essex Pl.,Marcus,cul,3,57911,10/15/79,1979
229,21,Kossuth Ave.,Fair,cul,3,59115,4/10/84,1984
230,21,Penrose St.,Dryden,pots (4),1,68049,7/11/09,2009
231,22,Amherst Terrace,Ridge Ave,pots (4),1,66147,2/9/04,2004
232,22,Etzel Ave.,Blackstone,pots (4),1,66249,5/19/05,2005
233,22,Julian Ave.,Goodfellow,cul,3,58338,7/24/81,1981
234,22,Kennerly Ave.,Clara,pots (4),1,64987,7/12/00,2000
235,22,Plymouth Ave.,Goodfellow,cul,3,57911,10/15/79,1979
236,25,Theodosis Ave.,Union,cul,3,57901,9/18/78,1978
237,26,Beck Ave.,Ridgewood,cul,3,63636,2/5/96,1996
238,26,Bartmer Ave.,Clara,pots (4),1,64779,11/18/99,1999
239,26,Cabanne Ave.,Belt,cul,3,57721,12/18/78,1978
240,26,Cabanne Ave.,Ruth Porter Mall,,4,63405,2/5/96,1996
241,26,Cates Ave.,Clara,cul,3,58518,3/1/84,1984
242,26,Cates Ave.,Goodfellow,cul,3,58518,3/1/84,1984
243,26,Chamberlain Ave.,Belt,pots (5),1,64986,7/12/00,2000
244,26,Clara Ave.,Cabanne Ave.,,4,63989,2/12/97,1997
245,26,Clara Ave.,Delmar,wrought iron fence,2,58513,3/1/84,1984
246,26,Clemens Ave.,Hamilton,pots (5),1,68387,6/22/08,2008
247,26,Clemens Ave.,Clara,pots (8),1,62942,7/27/93,1993
248,26,Enright Ave.,Belt,pots (5),1,62942,7/27/93,1993
249,26,Enright Ave.,Hamilton,pots (5),1,66454,7/16/04,2004
250,26,Etzel Ave.,Goodfellow,cul,3,57911,10/15/79,1979
251,26,Kingsbury Sq. E,McPherson,cul,3,63136,7/1/94,1994
252,26,Maple Ave.,Belt,cul,3,86042,4/30/80,1980
253,26,Minerva Ave.,Academy,wrought iron fence,2,59133,4/12/84,1984
254,26,Raymond Ave.,Hodiamont Streetcar Row,pots (4),1,66699,5/13/05,2005
255,26,Thornby Pl.,Bartmer,wrought iron fence,2,66137,2/9/04,2004
256,26,Vernon,Belt,cul,3,57721,12/18/78,1978
257,26,Wells Ave.,Academy,pots (5),1,62932,11/9/93,1993
258,27,Wells Ave.,Kingshighway,pots (4),1,63667,3/12/96,1996
259,27,Emma,Park Ln,pots (4),1,68285,2/9/09,2009
260,27,Garesche Ave.,Mimika Ave.,pots (7),1,63088,12/15/93,1993
261,27,Henner Ave.,Bircher,,4,67004,11/12/09,2009
262,27,Lalite Ave.,Mimika Ave.,,4,64645,5/4/99,1999
263,27,Lucille Ave.,Citylimits,pots (3),1,64452,8/1/98,1998
264,28,Lucille Ave.,Mimika Ave.,pots (6),1,65363,12/6/01,2001
265,28,Belt Ave.,Waterman,wrought iron fence,2,49031,6/1/58,1958
266,28,Degiverville Ave.,Debaliviere,cul,3,57911,10/15/79,1979
267,28,Degiverville Ave.,Delmar,posts/chains,2,57911,10/15/79,1979
268,28,Des Peres Ave.,Delmar,cul,3,59398,3/4/85,1984
269,28,Hamilton Ave.,Delmar,highway barrier,4,57901,9/18/78,1978
270,28,Kingsbury Pl.,Clara,posts/chains,2,57901,9/18/78,1978
271,28,Kingsbury Pl.,Debaliviere,cul,3,57901,9/18/78,1978
272,28,Kingsbury Pl.,Laurel,pots (3),1,57901,9/18/78,1978
273,28,Lake Ave.,Delmar,pots (4),1,59127,4/10/84,1984
274,28,McPherson Ave.,Boyle,posts/chains,2,58510,2/26/82,1982
275,28,McPherson Ave.,Taylor,cul,3,59067,3/8/84,1984
276,28,Newstead Ave.,Olive,cul,3,59398,3/8/84,1984
277,28,Nina Pl.,McPherson,cul,3,59020,1/3/84,1984
278,28,Pershing Ave,Taylor,posts/chains,2,59057,3/8/84,1984
279,28,Pershing Ave,Taylor,pots (5),1,59057,3/8/84,1984
280,28,Rosedale Ave.,Delmar,pots (3),1,59066,3/8/84,1984
281,28,Washington Pl,Kingshighway,cul,3,57452,12/12/77,1977
282,28,Washington Blvd,Laurel,cul,3,57452,12/12/77,1977
283,28,Washington Ave.,Union,cul,3,57452,12/12/77,1977
284,28,Waterman Blvd.,Belt,posts/chains,2,57452,12/12/77,1977
285,28,Waterman Blvd.,Debaliviere,,4,57452,12/12/77,1977
286,28,Westminister Pl.,Boyle,cul,3,58355,8/7/81,1981
287,28,Westminister Pl.,Euclid,cul,3,59127,4/10/84,1984
288,28,Westminister Pl.,Laurel,pots (3),1,59127,4/10/84,1984
289,28,Westminister Pl.,Taylor,cul,3,59127,4/10/84,1984
290,26,Vernon Ave,Union Blvd,pots(5),1,,,
291,3,N. Spring Ave,Dodier St,,4,,,
