id,street,avenue,date,year,googleMapsVerify,status,changes,additionalDate
188,Swan Ave.,S. Taylor Ave.,2/10/84,1984,1,street closed,,
189,Vista Ave.,S. Taylor Ave.,2/10/84,1984,3,street closed,,
192,Wichita Ave.,Kingshighway Blvd.,3/21/02,2002,3,street closed,,
194,Aubert Ave.,Page,3/8/84,1984,1,street closed,,
197,Bayard Ave.,Fountain,3/8/84,1984,1,street closed,,
198,Enright Ave.,Newstead Av.,1/21/97,1997,1,street closed,,
199,Enright Ave.,Taylor,3/26/96,1996,3,street closed,,
201,Fountain Ave.,Walton,4/20/88,1988,1,street closed,,
202,Maryland Ave.,Whittier,6/26/80,1980,3,street closed,,
203,McMillan Ave.,Walton,3/8/84,1984,1,street closed,,
204,Olive St.,Walton,4/20/88,1988,1,street closed,,
205,Olive St.,Whittier,11/23/05,2005,4,street open,,
206,Washington Blvd,Newstead,12/18/78,1978,3,street closed,,
207,Washington Ave.,Pendleton,4/10/84,1984,3,street closed,,
208,Washington Blvd.,Walton,4/20/88,1988,3,street closed,,
209,West Belle Pl.,Sarah,7/26/91,1991,2,street open,,
210,Westminster Pl.,N Taylor Ave,3/5/86,1986,1,street closed,street name fixed,
211,Whittier St.,McPherson Ave.,2/7/95,1995,3,street closed,,
213,University St.,Glasgow,4/8/96,1996,1,street closed,,
214,Westminster Pl.,Vandeventer,11/17/98,1998,3,street closed,street name fixed,
215,Windsor Pl.,Spring,1/3/97,1997,3,street closed,,
223,Oregon Ave.,Miami,7/12/00,2000,3,street closed,,
224,Palm St.,Shreve,1/9/99,1999,1,street closed,,
228,Essex Pl.,4600 Block,10/15/79,1979,3,street closed,street name fixed,
229,Kossuth Ave.,Fair,4/10/84,1984,1,street closed,,
230,Penrose St.,Dryden,7/11/09,2009,1,street closed,,
231,Amherst Terrace,Ridge Ave,2/9/04,2004,1,street closed,,
232,Etzel Ave.,Blackstone,5/19/05,2005,1,street closed,,
233,Julian Ave.,Goodfellow,7/24/81,1981,3,street closed,,
234,Kennerly Ave.,Clara,7/12/00,2000,2,street open,,
235,Plymouth Ave.,Goodfellow,10/15/79,1979,1,street closed,,
237,Beck Ave.,Ridgewood,2/5/96,1996,3,street closed,,
238,Bartmer Ave.,Clara,11/18/99,1999,3,street closed,,
239,Cabanne Ave.,Belt,12/18/78,1978,3,street closed,,
241,Cates Ave.,Clara,3/1/84,1984,3,street closed,,
242,Cates Ave.,Goodfellow,3/1/84,1984,1,street closed,,
243,Chamberlain Ave.,Belt,7/12/00,2000,3,street closed,,
244,Clara Ave.,Cabanne Ave.,2/12/97,1997,3,street closed,,
245,Clara Ave.,Delmar,3/1/84,1984,2,street open,gates open,
246,Clemens Ave.,Hamilton,6/22/08,2008,3,street closed,,
248,Enright Ave.,Belt,7/27/93,1993,3,street closed,,
249,Enright Ave.,Hamilton,7/16/04,2004,3,street closed,,
250,Etzel Ave.,Goodfellow,10/15/79,1979,9,duplicate,with 235,
251,Kingsbury Sq. E,McPherson,7/1/94,1994,2,street open,,
252,Maple Ave.,Belt,4/30/80,1980,1,street closed,,
253,Minerva Ave.,Academy,4/12/84,1984,3,street closed,,
255,Thornby Pl.,Bartmer,2/9/04,2004,1,street closed,,
256,Vernon,Belt,12/18/78,1978,3,street closed,,
257,Wells Ave.,Academy,11/9/93,1993,1,street closed,,
258,Wells Ave.,Kingshighway,3/12/96,1996,3,street closed,,
259,Emma,Park Ln,2/9/09,2009,3,street closed,,
