oldId,visitDate,visitTime,updateDate,updateTime,notes,ycord,xcord,attachments,nhood,proj
2,7/31/17,3:35:20 AM,7/31/17,3:35:59 AM,228,38.673958,-90.243532,,Penrose,35
1,6/30/17,10:33:28 AM,6/30/17,10:33:35 AM,251,38.650933,-90.28565,,Skinker debaliviere ,23
2,6/30/17,10:37:35 AM,6/30/17,10:37:39 AM,272,38.652033,-90.289015,,Skinker debaliviere ,23
3,6/30/17,10:45:51 AM,6/30/17,10:45:51 AM,,38.652563,-90.288927,,Skinker debaliviere ,23
4,6/30/17,10:52:02 AM,6/30/17,10:52:16 AM,282,38.653573,-90.290213,,Skinker debaliviere ,23
5,6/30/17,10:59:26 AM,6/30/17,10:59:43 AM,269,38.654038,-90.29076,,Skinker debaliviere ,23
6,6/30/17,11:06:32 AM,6/30/17,11:07:33 AM,280,38.65467,-90.29609,,Skinker debaliviere ,23
7,6/30/17,11:12:47 AM,6/30/17,11:12:54 AM,268,38.65426,-90.294342,,Skinker debaliviere ,23
8,6/30/17,11:20:15 AM,6/30/17,11:20:19 AM,267,38.654333,-90.29291,,Skinker debaliviere ,23
9,6/30/17,11:32:47 AM,6/30/17,11:32:50 AM,277,38.650978,-90.29167,,Skinker debaliviere ,23
10,6/30/17,11:40:50 AM,6/30/17,11:40:56 AM,266,38.64874,-90.286113,,Skinker debaliviere ,23
1,6/29/17,1:20:50 PM,6/29/17,1:20:55 PM,71,38.654618,-90.202588,,St. Louis place,22
1,7/21/17,12:39:10 PM,7/21/17,12:39:26 PM,261,38.695768,-90.259893,,Walnut Park East,27
1,7/21/17,10:21:23 PM,7/21/17,10:21:35 PM,262,,,,Walnut Park West,28
2,7/21/17,10:27:08 PM,7/21/17,10:27:13 PM,260,38.704112,-90.258072,,Walnut Park West,28
3,7/21/17,10:30:59 PM,7/21/17,10:31:10 PM,264,38.704112,-90.258072,,Walnut Park West,28
4,7/21/17,10:35:49 PM,7/21/17,10:36:28 PM,263,38.704112,-90.258072,,Walnut Park West,28
5,7/21/17,10:39:59 PM,7/21/17,10:40:08 PM,New barrier 1,38.706697,-90.255918,,Walnut Park West,28
